epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,682.64,0.73047,1.31721,0.5597,1.44763,0.96192,0.96229,0.9869,0.73817,0.97144,0.97181,0.99233,0.8082,0.8762,0.64258,0.44689,1.81435,0.000475782,0.000475782,0.000475782
31,704.956,0.75576,1.42203,0.58462,1.4635,0.97015,0.9619,0.99039,0.77608,0.9605,0.95238,0.9754,0.82096,0.8046,0.47909,0.44117,1.76906,0.000474114,0.000474114,0.000474114
32,727.343,0.74825,1.32331,0.56123,1.44346,0.95339,0.95238,0.97251,0.74773,0.95339,0.95238,0.97251,0.78029,0.82227,0.67077,0.44276,1.73762,0.000472394,0.000472394,0.000472394
33,749.855,0.7478,1.28176,0.54894,1.44708,0.97814,0.9619,0.98391,0.7508,0.96831,0.95238,0.97976,0.75962,0.81041,0.96318,0.45037,1.70147,0.000470623,0.000470623,0.000470623
34,772.123,0.72933,1.24509,0.55617,1.42316,0.96884,0.97143,0.98151,0.75573,0.96884,0.97143,0.98151,0.8028,0.8615,0.56357,0.42971,1.77772,0.0004688,0.0004688,0.0004688
35,794.486,0.7138,1.31027,0.5387,1.42646,0.95366,0.98007,0.98699,0.7221,0.9444,0.97055,0.96642,0.7612,0.89909,0.56279,0.5887,1.80605,0.000466926,0.000466926,0.000466926
36,816.968,0.71542,1.20937,0.55146,1.40216,0.96112,0.99048,0.99229,0.78495,0.95177,0.98095,0.98226,0.82468,0.78008,0.6939,0.44782,1.72134,0.000465002,0.000465002,0.000465002
37,839.389,0.73923,1.31708,0.56691,1.42404,0.96237,0.98095,0.98545,0.76712,0.95302,0.97143,0.96792,0.80208,0.79428,0.67258,0.44707,1.71557,0.000463028,0.000463028,0.000463028
38,861.788,0.70978,1.21158,0.54714,1.42441,0.97836,0.97143,0.98377,0.75827,0.97836,0.97143,0.98377,0.80071,0.82648,0.52782,0.43407,1.74007,0.000461004,0.000461004,0.000461004
39,884.257,0.74397,1.40017,0.5571,1.44638,0.99411,0.99048,0.995,0.77765,0.99411,0.99048,0.995,0.7983,0.76191,0.59974,0.48024,1.67738,0.000458932,0.000458932,0.000458932
